"label.csv_policies.customer","label.csv_policies.state","fact.csv_policies.customer_lifetime_value","label.csv_policies.coverage","label.csv_policies.education","effective_to_date","label.csv_policies.employmentstatus","label.csv_policies.gender","fact.csv_policies.income","label.csv_policies.marital_status","fact.csv_policies.monthly_premium_auto","label.csv_policies.policy_type","label.csv_policies.renew_offer_type","label.csv_policies.sales_channel","fact.csv_policies.total_claim_amount","label.csv_policies.vehicle_class","label.csv_policies.vehicle_size"
"HG65722","Oregon","12819.10289","Premium","Doctor","08/25/2015","Disabled","F","10105","Married","172","Personal Auto","Offer1","Branch","0.517753","SUV","Medsize"
"BU27331","Arizona","4468.510542","Basic","Bachelor","08/31/2015","Unemployed","M","0","Single","73","Personal Auto","Offer3","Call Center","579.165954","Four-Door Car","Medsize"
"XM45289","Oregon","5514.344018","Basic","High School or Below","08/02/2015","Employed","F","23218","Single","71","Personal Auto","Offer4","Agent","447.79344","Two-Door Car","Medsize"
"KP34198","California","3343.875326","Extended","Bachelor","09/07/2015","Unemployed","F","0","Married","92","Corporate Auto","Offer2","Call Center","529.624084","Four-Door Car","Medsize"
"SH90947","Arizona","2294.478927","Basic","High School or Below","08/18/2015","Unemployed","F","0","Married","62","Personal Auto","Offer4","Branch","313.023175","Four-Door Car","Medsize"
"WE95729","Oregon","36707.42639","Basic","College","08/17/2015","Employed","M","24804","Married","104","Personal Auto","Offer1","Agent","593.830288","SUV","Small"
"PY51963","California","33473.34946","Basic","Bachelor","08/11/2015","Employed","F","33190","Divorced","106","Corporate Auto","Offer1","Web","508.8","SUV","Medsize"
"RB69909","Nevada","7983.431709","Basic","High School or Below","09/21/2015","Employed","F","36014","Married","69","Special Auto","Offer4","Branch","173.956072","Four-Door Car","Medsize"
"XR95069","Washington","4854.745666","Basic","Bachelor","09/16/2015","Employed","M","29834","Single","64","Personal Auto","Offer4","Agent","307.2","Four-Door Car","Medsize"
"FR46645","California","4293.997319","Premium","Bachelor","08/17/2015","Disabled","M","16701","Married","113","Personal Auto","Offer1","Branch","831.625979","Four-Door Car","Small"
"SY17488","Arizona","7164.395543","Extended","College","09/05/2015","Employed","F","46623","Divorced","91","Corporate Auto","Offer3","Call Center","436.8","Four-Door Car","Small"
"AP67935","California","7619.5158","Basic","College","09/13/2015","Employed","M","64749","Married","64","Special Auto","Offer2","Branch","302.56519","Four-Door Car","Medsize"
"FS37417","Arizona","3958.002823","Basic","High School or Below","09/23/2015","Unemployed","F","0","Married","101","Personal Auto","Offer1","Call Center","484.8","SUV","Small"
"ML29312","Oregon","4499.493252","Extended","High School or Below","08/28/2015","Disabled","F","16969","Divorced","124","Personal Auto","Offer1","Call Center","704.768111","SUV","Medsize"
"UB61619","Oregon","4059.567414","Premium","Master","09/28/2015","Disabled","F","11621","Divorced","108","Personal Auto","Offer1","Agent","518.4","Four-Door Car","Medsize"
"CD86811","Arizona","4458.113369","Basic","Bachelor","08/02/2015","Retired","M","17622","Divorced","65","Personal Auto","Offer1","Agent","312","Four-Door Car","Medsize"
"RU83859","California","8110.333139","Premium","Bachelor","08/22/2015","Medical Leave","F","11489","Married","105","Personal Auto","Offer1","Call Center","504","Two-Door Car","Small"
"FG63582","Oregon","3339.764873","Extended","Bachelor","08/15/2015","Unemployed","M","0","Single","94","Personal Auto","Offer1","Agent","863.327324","Two-Door Car","Small"
"NN71951","California","24261.01777","Basic","High School or Below","08/27/2015","Employed","F","66525","Married","100","Personal Auto","Offer1","Agent","104.331355","SUV","Medsize"
"WB37082","Arizona","6613.973653","Basic","Bachelor","08/23/2015","Unemployed","F","0","Single","63","Personal Auto","Offer3","Branch","676.391482","Four-Door Car","Large"
"SM52139","Washington","2930.693543","Basic","College","08/31/2015","Employed","M","33663","Married","73","Personal Auto","Offer3","Web","350.4","Four-Door Car","Medsize"
"FL82372","Oregon","8672.194272","Basic","College","08/26/2015","Employed","F","22547","Divorced","112","Corporate Auto","Offer1","Agent","537.6","SUV","Medsize"
"DP45816","Arizona","11638.66926","Extended","High School or Below","08/10/2015","Employed","F","61486","Married","97","Personal Auto","Offer4","Branch","465.258644","Two-Door Car","Small"
"GW33762","Oregon","6846.150323","Extended","Bachelor","08/27/2015","Unemployed","F","0","Divorced","95","Personal Auto","Offer1","Call Center","456","Two-Door Car","Large"
"RZ33670","California","11727.77648","Premium","College","08/09/2015","Disabled","F","29879","Married","102","Personal Auto","Offer3","Web","500.254235","Four-Door Car","Medsize"
"PY70169","Oregon","22643.83478","Basic","High School or Below","09/24/2015","Employed","M","93011","Divorced","113","Personal Auto","Offer4","Agent","281.451042","SUV","Medsize"
"MO91628","Oregon","2614.474305","Basic","Master","09/11/2015","Employed","M","65186","Married","65","Personal Auto","Offer2","Web","5.434505","Two-Door Car","Large"
"HW87852","Oregon","2451.752695","Basic","Master","09/12/2015","Medical Leave","M","26840","Married","64","Personal Auto","Offer1","Agent","307.2","Four-Door Car","Medsize"
"HB20453","Oregon","6781.270203","Basic","Bachelor","09/04/2015","Unemployed","M","0","Single","104","Personal Auto","Offer1","Agent","982.399613","Sports Car","Medsize"
"BN87372","Oregon","4974.801539","Basic","Bachelor","08/18/2015","Employed","M","75644","Divorced","65","Personal Auto","Offer2","Branch","467.803638","Two-Door Car","Medsize"
"YX23800","Oregon","8591.604933","Basic","Bachelor","09/11/2015","Employed","M","38984","Married","73","Personal Auto","Offer2","Branch","350.4","Four-Door Car","Small"
"DZ87709","Oregon","5592.161392","Basic","High School or Below","09/01/2015","Employed","F","71811","Single","71","Personal Auto","Offer2","Call Center","29.03416","Four-Door Car","Medsize"
"XW13033","Nevada","8009.472833","Basic","College","09/15/2015","Employed","M","20961","Married","67","Personal Auto","Offer2","Agent","321.6","Four-Door Car","Medsize"
"LN31673","Washington","11318.08982","Extended","College","09/06/2015","Employed","M","38923","Married","99","Personal Auto","Offer1","Agent","115.728852","Four-Door Car","Medsize"
"OM82309","California","58166.55351","Basic","Bachelor","09/27/2015","Employed","M","61321","Single","186","Personal Auto","Offer2","Branch","427.63121","Luxury Car","Small"
"ZU35962","California","8025.229358","Extended","College","08/26/2015","Unemployed","F","0","Single","77","Personal Auto","Offer3","Branch","25.807685","Two-Door Car","Large"
"VH85817","California","5780.182197","Basic","High School or Below","09/26/2015","Employed","M","51066","Single","74","Personal Auto","Offer2","Call Center","787.993313","Four-Door Car","Medsize"
"DT85712","California","4118.539113","Basic","Doctor","08/27/2015","Employed","M","34378","Married","102","Personal Auto","Offer3","Branch","489.6","SUV","Medsize"
"YJ88573","Nevada","2523.07015","Basic","Master","08/16/2015","Employed","M","43072","Married","63","Personal Auto","Offer2","Call Center","302.4","Four-Door Car","Large"
"SQ19467","Oregon","6554.216396","Extended","College","08/27/2015","Disabled","F","25222","Single","90","Personal Auto","Offer2","Agent","475.623251","Four-Door Car","Small"
"HF88410","Washington","7703.397294","Basic","High School or Below","09/28/2015","Employed","M","36765","Married","66","Personal Auto","Offer1","Call Center","320.849072","Four-Door Car","Medsize"
"ET79815","California","5926.729379","Extended","College","08/25/2015","Retired","M","23091","Married","96","Personal Auto","Offer1","Agent","460.8","Four-Door Car","Medsize"
"QC35222","California","2683.470677","Basic","Bachelor","08/01/2015","Employed","F","48269","Married","69","Corporate Auto","Offer3","Web","282.151207","Four-Door Car","Medsize"
"CJ15590","Oregon","2695.182419","Basic","Bachelor","09/01/2015","Employed","F","32720","Divorced","67","Personal Auto","Offer3","Branch","321.6","Four-Door Car","Medsize"
"OI48267","California","6047.02516","Extended","College","09/19/2015","Employed","M","20396","Married","76","Personal Auto","Offer1","Branch","364.8","Four-Door Car","Medsize"
"JY67916","Oregon","13171.01282","Premium","College","08/27/2015","Medical Leave","M","21513","Married","119","Personal Auto","Offer2","Branch","679.827592","Two-Door Car","Small"
"OE75231","Washington","10656.88195","Extended","Bachelor","09/27/2015","Employed","F","72540","Married","88","Corporate Auto","Offer2","Call Center","631.743039","Two-Door Car","Medsize"
"CZ33664","Oregon","2527.653796","Basic","Bachelor","08/17/2015","Employed","F","80744","Married","63","Corporate Auto","Offer1","Agent","11.879037","Four-Door Car","Medsize"
"WK30175","Oregon","2672.095756","Basic","Bachelor","09/10/2015","Employed","M","52822","Married","67","Corporate Auto","Offer1","Branch","350.529033","Two-Door Car","Small"
"ON44465","California","5313.294035","Extended","High School or Below","08/24/2015","Unemployed","F","0","Single","77","Personal Auto","Offer1","Agent","863.3947","Four-Door Car","Medsize"
"TV87155","Oregon","20946.19251","Basic","Bachelor","09/24/2015","Employed","F","69738","Married","74","Personal Auto","Offer1","Branch","492.127532","Four-Door Car","Large"
"KH48895","Arizona","8375.353929","Basic","Master","09/15/2015","Medical Leave","F","17780","Married","109","Personal Auto","Offer1","Branch","132.588288","SUV","Medsize"
"NZ30757","California","4801.661503","Basic","Bachelor","09/16/2015","Medical Leave","M","18107","Married","62","Personal Auto","Offer1","Agent","297.6","Four-Door Car","Medsize"
"RI22468","Arizona","5745.94334","Basic","Bachelor","08/22/2015","Employed","F","57740","Married","74","Personal Auto","Offer3","Web","269.905129","Four-Door Car","Medsize"
"FZ30935","Oregon","6066.115969","Extended","College","09/25/2015","Employed","M","32627","Married","76","Personal Auto","Offer1","Agent","380.036697","Two-Door Car","Small"
"UG93476","California","8002.308333","Basic","College","08/11/2015","Unemployed","F","0","Married","107","Personal Auto","Offer1","Agent","513.6","SUV","Medsize"
"AB96670","California","2393.915369","Basic","College","08/31/2015","Unemployed","M","0","Single","70","Personal Auto","Offer1","Branch","425.266308","Four-Door Car","Medsize"
"XK64261","Oregon","4762.8179","Basic","Bachelor","08/12/2015","Employed","M","65795","Single","62","Corporate Auto","Offer3","Call Center","49.011099","Two-Door Car","Medsize"
"EV68375","California","4330.38602","Premium","College","09/16/2015","Employed","M","60475","Married","107","Personal Auto","Offer2","Branch","513.6","Four-Door Car","Medsize"
"UN51653","California","9402.729769","Extended","High School or Below","09/09/2015","Unemployed","F","0","Single","130","Personal Auto","Offer1","Web","936","SUV","Medsize"
"TO96662","Oregon","6966.694527","Extended","Bachelor","08/19/2015","Employed","F","41837","Married","88","Personal Auto","Offer1","Call Center","142.062768","Four-Door Car","Small"
"MR52087","California","7694.064293","Basic","Bachelor","08/04/2015","Employed","F","32303","Married","65","Personal Auto","Offer3","Branch","45.152521","Four-Door Car","Medsize"
"DE75225","Oregon","8717.561149","Basic","High School or Below","08/09/2015","Unemployed","M","0","Married","117","Personal Auto","Offer1","Agent","561.6","SUV","Medsize"
"EP80820","California","5928.748528","Basic","Bachelor","08/27/2015","Employed","F","40531","Married","74","Personal Auto","Offer1","Agent","30.567357","Two-Door Car","Medsize"
"GU99037","Oregon","2452.977288","Basic","College","09/14/2015","Employed","M","79898","Married","62","Corporate Auto","Offer4","Agent","271.606799","Four-Door Car","Medsize"
"WI57118","California","6701.571657","Extended","College","09/27/2015","Employed","M","56398","Married","85","Personal Auto","Offer4","Agent","408","Four-Door Car","Small"
"YQ74870","Washington","7556.24034","Extended","High School or Below","09/12/2015","Employed","M","35257","Divorced","98","Corporate Auto","Offer2","Web","470.4","Four-Door Car","Small"
"MQ14219","Arizona","8492.6988","Basic","College","09/26/2015","Employed","M","27804","Married","109","Personal Auto","Offer2","Branch","784.8","SUV","Medsize"
"KN20603","Oregon","7713.494046","Basic","Bachelor","09/20/2015","Employed","M","45506","Single","66","Personal Auto","Offer1","Agent","316.8","Four-Door Car","Medsize"
"CR48975","Washington","24084.5352","Basic","High School or Below","09/02/2015","Employed","M","65196","Married","67","Personal Auto","Offer4","Branch","396.082036","Four-Door Car","Medsize"
"JI70886","California","7290.069769","Basic","High School or Below","09/15/2015","Unemployed","M","0","Married","102","Corporate Auto","Offer1","Agent","489.6","SUV","Medsize"
"VF72557","Oregon","4772.943848","Extended","High School or Below","09/18/2015","Retired","M","20993","Divorced","133","Personal Auto","Offer2","Agent","638.4","SUV","Medsize"
"OX28638","Arizona","6806.491395","Extended","High School or Below","08/21/2015","Employed","M","37839","Married","86","Personal Auto","Offer2","Branch","465.633954","Two-Door Car","Medsize"
"SK55033","California","2469.781334","Basic","Bachelor","08/15/2015","Employed","F","92711","Single","62","Personal Auto","Offer3","Agent","368.400146","Two-Door Car","Medsize"
"OO88645","California","3103.923041","Extended","College","09/05/2015","Employed","F","74665","Married","78","Corporate Auto","Offer2","Call Center","236.902001","Four-Door Car","Medsize"
"YT36855","Washington","2981.875575","Extended","College","09/24/2015","Unemployed","M","0","Married","83","Personal Auto","Offer3","Web","582.679087","Two-Door Car","Medsize"
"CW82151","California","8902.737595","Basic","Bachelor","08/05/2015","Employed","M","46833","Married","112","Personal Auto","Offer1","Call Center","64.109663","Sports Car","Medsize"
"DY22043","Oregon","5499.447223","Basic","High School or Below","08/28/2015","Employed","F","88768","Married","68","Personal Auto","Offer3","Branch","326.4","Two-Door Car","Small"
"SH36774","California","15023.59858","Basic","High School or Below","08/12/2015","Employed","M","28262","Single","192","Personal Auto","Offer3","Web","921.6","Luxury SUV","Medsize"
"EM43724","Nevada","2509.107875","Basic","Bachelor","09/16/2015","Employed","F","33555","Married","63","Personal Auto","Offer1","Agent","101.89645","Four-Door Car","Medsize"
"FH85960","Oregon","31221.7481","Premium","College","08/03/2015","Employed","M","42780","Divorced","113","Personal Auto","Offer1","Call Center","542.4","Four-Door Car","Medsize"
"XA55993","Oregon","3133.503432","Extended","Master","09/07/2015","Employed","F","58850","Single","78","Personal Auto","Offer2","Branch","143.747794","Four-Door Car","Medsize"
"GO36627","Arizona","3837.451863","Extended","College","08/13/2015","Employed","M","21880","Married","97","Special Auto","Offer1","Branch","424.077159","Four-Door Car","Medsize"
"QH48047","Oregon","11790.49617","Basic","College","08/03/2015","Retired","M","25251","Divorced","66","Personal Auto","Offer2","Web","316.8","Four-Door Car","Medsize"
"RB50392","Washington","7838.068321","Basic","Master","09/17/2015","Unemployed","F","0","Married","69","Personal Auto","Offer2","Agent","2.704934","Four-Door Car","Medsize"
"UH65059","Arizona","4305.808345","Basic","High School or Below","08/21/2015","Employed","M","24188","Married","109","Personal Auto","Offer1","Agent","523.2","Sports Car","Medsize"
"FV21968","Nevada","5973.976904","Basic","Bachelor","08/26/2015","Employed","F","41611","Married","74","Special Auto","Offer1","Branch","113.801497","Four-Door Car","Medsize"
"QA87025","Oregon","5670.442396","Basic","Bachelor","08/31/2015","Employed","F","28406","Married","72","Personal Auto","Offer1","Call Center","192.87572","Four-Door Car","Medsize"
"TQ13499","Arizona","4731.749346","Premium","College","08/02/2015","Employed","M","69833","Married","118","Personal Auto","Offer1","Agent","828.662719","Four-Door Car","Small"
"BU44523","Arizona","8026.379641","Basic","High School or Below","09/07/2015","Unemployed","F","0","Single","74","Corporate Auto","Offer1","Web","532.8","Four-Door Car","Small"
"MS41162","Arizona","4022.963529","Basic","High School or Below","08/26/2015","Unemployed","M","0","Single","117","Personal Auto","Offer1","Agent","975.107098","SUV","Medsize"
"PU25891","Oregon","9618.310865","Basic","High School or Below","08/11/2015","Employed","F","80536","Married","119","Special Auto","Offer1","Branch","53.798708","Sports Car","Medsize"
"RB81636","Washington","2274.775451","Basic","College","08/15/2015","Unemployed","F","0","Single","63","Personal Auto","Offer2","Agent","606.642452","Four-Door Car","Small"
"SX26335","Oregon","9552.926922","Extended","College","09/08/2015","Employed","F","97732","Married","79","Personal Auto","Offer4","Branch","289.9122","Four-Door Car","Medsize"
"AZ95587","Arizona","10388.55323","Extended","Bachelor","08/11/2015","Employed","F","61222","Single","89","Special Auto","Offer3","Branch","392.604371","Four-Door Car","Small"
"DS81757","Oregon","2470.121222","Basic","College","08/09/2015","Unemployed","M","0","Single","74","Personal Auto","Offer4","Web","721.242206","Two-Door Car","Large"
"OJ94107","Arizona","5619.068508","Premium","Master","09/04/2015","Employed","M","50335","Married","140","Personal Auto","Offer1","Call Center","456.52385","SUV","Medsize"
"LP84436","California","9047.119209","Extended","High School or Below","08/21/2015","Unemployed","F","0","Single","127","Personal Auto","Offer3","Branch","1087.995426","Sports Car","Medsize"
"YV64727","Washington","6692.143668","Premium","High School or Below","09/16/2015","Employed","M","63221","Married","168","Corporate Auto","Offer3","Agent","806.4","SUV","Medsize"
"LM19287","Oregon","3731.504584","Extended","High School or Below","09/24/2015","Unemployed","F","0","Married","96","Personal Auto","Offer1","Agent","460.8","Four-Door Car","Large"
"ZU18643","Nevada","3660.770258","Extended","Bachelor","08/18/2015","Employed","M","64495","Married","92","Corporate Auto","Offer4","Web","251.992083","Four-Door Car","Medsize"
"AZ82578","California","7928.829252","Basic","College","08/30/2015","Unemployed","F","0","Married","72","Corporate Auto","Offer1","Call Center","345.6","Four-Door Car","Medsize"
"XC67861","Arizona","5011.751577","Basic","Bachelor","08/09/2015","Employed","F","28859","Divorced","67","Corporate Auto","Offer1","Call Center","321.6","Two-Door Car","Medsize"
"YC43143","Arizona","7988.258292","Extended","High School or Below","09/01/2015","Employed","F","77330","Married","99","Personal Auto","Offer2","Web","99.257608","Four-Door Car","Medsize"
"EK59571","Oregon","3885.456401","Premium","College","09/28/2015","Unemployed","M","0","Married","105","Corporate Auto","Offer1","Branch","504","Four-Door Car","Large"
"GD83998","Washington","2659.337982","Basic","Bachelor","08/31/2015","Employed","M","24495","Single","70","Personal Auto","Offer4","Branch","336","Four-Door Car","Small"
"WA25797","Washington","8564.768226","Basic","High School or Below","09/17/2015","Employed","M","95697","Married","107","Personal Auto","Offer2","Agent","178.006524","Sports Car","Medsize"
"PD27940","Arizona","4885.162511","Extended","High School or Below","09/12/2015","Disabled","M","26372","Married","126","Personal Auto","Offer4","Agent","604.8","SUV","Medsize"
"BS77946","Arizona","9753.307106","Extended","Bachelor","09/24/2015","Medical Leave","F","17514","Married","127","Personal Auto","Offer1","Branch","8.312729","SUV","Medsize"
"YM50253","California","2946.153697","Basic","Bachelor","09/01/2015","Employed","F","89270","Single","74","Personal Auto","Offer2","Branch","316.599228","Four-Door Car","Medsize"
"NR15332","California","2581.110945","Basic","High School or Below","09/06/2015","Employed","M","29757","Married","65","Personal Auto","Offer2","Web","312","Four-Door Car","Small"
"RC62865","Oregon","3517.385764","Extended","College","08/23/2015","Employed","M","51814","Single","92","Personal Auto","Offer3","Agent","56.300724","Four-Door Car","Medsize"
"CC15295","Oregon","9743.350113","Extended","Bachelor","08/21/2015","Employed","F","24028","Married","82","Personal Auto","Offer2","Agent","393.6","Four-Door Car","Small"
"KA61892","Arizona","3873.647046","Basic","College","08/20/2015","Retired","M","28142","Married","105","Personal Auto","Offer2","Agent","701.708239","Sports Car","Medsize"
"OS94884","Arizona","7649.28199","Basic","Bachelor","08/06/2015","Employed","F","52705","Married","64","Personal Auto","Offer1","Web","128.705563","Two-Door Car","Large"
"ND87334","California","2287.59692","Basic","High School or Below","09/22/2015","Unemployed","M","0","Married","63","Corporate Auto","Offer2","Agent","679.368378","Two-Door Car","Medsize"
"ML93326","Washington","4475.424592","Basic","College","09/27/2015","Employed","F","84903","Married","111","Personal Auto","Offer1","Agent","497.126827","SUV","Medsize"
"YL74911","California","8714.922135","Basic","College","09/21/2015","Unemployed","F","0","Divorced","118","Personal Auto","Offer1","Agent","566.4","SUV","Medsize"
"JP69864","Washington","2248.449633","Basic","Bachelor","08/29/2015","Retired","F","24910","Single","63","Personal Auto","Offer1","Branch","347.857619","Four-Door Car","Medsize"
"HL53154","California","7416.197322","Extended","Bachelor","09/22/2015","Unemployed","M","0","Single","77","Personal Auto","Offer1","Agent","554.4","Four-Door Car","Medsize"
"RI78966","Oregon","7771.158973","Basic","Master","09/21/2015","Medical Leave","M","21876","Married","68","Personal Auto","Offer1","Agent","465.41477","Four-Door Car","Small"
"IC13702","California","6968.3419","Basic","Bachelor","08/10/2015","Unemployed","F","0","Single","69","Personal Auto","Offer1","Agent","496.8","Four-Door Car","Small"
"BE10809","California","4250.282624","Basic","High School or Below","08/18/2015","Unemployed","F","0","Single","61","Personal Auto","Offer1","Agent","292.8","Four-Door Car","Small"
"HT87217","Oregon","19776.56654","Extended","High School or Below","08/16/2015","Employed","F","70699","Divorced","82","Personal Auto","Offer3","Agent","256.813837","Four-Door Car","Medsize"
